title,display_level,md5,sha256,beta_easy,beta_hard,alpha,has_data
Justitia [Redemption],sl9,001003eb7179ba8a1c169175fd1aa0f0,1334a43c53c2efa83051b0bb21ec303d2a07557e98153f69405822e63f7861fc,0.369,0.636,12.278,True
爽昧夢想ラバーズ [SP INSANE],sl4,0030e052e7271ff136d9d6ccaebd3659,c29f36d2688bbc0f235fdfce626e1b71a9c4085e024f3a56da5f5d0380bd3d2a,-0.012,0.326,7.424,True
dolls wish... [EX],st4,003cdfadaf22dade9cccd3ae0d814317,bc6d6644cbdf9901e740dad0e503356157feb44429c10ecbe0d28423d8f154cb,1.140,1.490,7.026,True
NS20 [7key CHAOSDEATH],sl10,0076b2ce2cee05999a524712c128740f,089c220a2428410bc16f2047d7d96626360801bc4021512be082e9a39b48be03,0.365,0.727,7.798,True
IDOLL [DOLLISH],sl6,0083f9de62f737c85c99e962074fb07a,ebf4e332aeaabfaed2862ba8dcceaca46009c3678d0114f4d98f2a31bc2acbc8,0.275,0.444,7.925,True
乙女ノススメ！ [リアリティー],sl11,00b68a814511e9e1e1e5cb163825c76d,c6c21e96672fd3904464e840b36aea8ccac48bde5ae48e3518ad22324d19ca9f,0.484,0.732,10.144,True
Ancient Memory [MASTER],st3,00bce21870fbde432759b6f401b7c0fe,1a7b8581b2ba648b8a7946ee4f398af988e367eafc7e72e0beb1d24b1c4b8b69,0.991,1.192,10.290,True
Luna Express 2032 [Star Rail],st3,00f4e7507eb94918364d0c714161aad1,02ee7d032116f33cd992025664f0653075149677bd5fcad178325693170ffac2,0.797,1.213,8.684,True
sweet pop [not sweet],st4,00fc1a4e00ecc77789cbc822962c3eed,f5faf5f37f25c396e94b87af6cb711d7ac311de99a4e08d4de1bbfeb9e7fe5ef,0.915,1.215,8.604,True
わがまま×マニフェスト [EX],sl3,00fe8868d0c7c88aaa1c76152cd73ce3,2503cb23cb9ffd3e9e25ad806c7cc39053b4928023fb159ad4647b49853f09d4,-0.034,0.246,8.010,True
mom [insane],sl3,010492dbce773e39992651ce11a146d5,641e7c6275a5eae0b5b89f0d1ff82b6ac4dbd407a5ca9f49daec1aefc0322b63,0.065,0.361,6.479,True
ERIS MX,sl1,0108ff92119d48e0ca0e2eae1f3dffbf,9f0e12898c9f62766e6d9ae5e666af8f6f2ba01225dfe9fdbbc8bfec0483b077,-0.330,0.052,10.790,True
Lapis [World Extend],sl10,010d5e5f5225616215c1b365f68a604b,2f9bdf0affba1c29b0df6870a9f58961ca37335c39ed94cf31cab7577d75d479,0.383,0.644,10.083,True
Unleashed World [EXTRA],sl12,01109ff8ec2f7ed0192697737dad3e11,0838cca8355a5dc92a4f896cc483c831d8cbc579679d6ec2d8124c4342a9a483,0.466,0.705,10.945,True
Cosmic Velocity [7KEYS ANOTHER],sl1,011cd2c0f6936f0a28231a1324dce301,f1574bb09e34ef7723469eeb6f8457ac39750302557ba7d2b38476c30b62820b,-0.389,0.170,7.111,True
Berry Go!! [ZOI-EZ],sl0,011d370c8a0d66bf3175a88609dca383,e985cf7eb05dbaa81cceb6b5cd45c52b122bf8e957dd393963e3fd356860a2c2,-0.501,-0.018,5.124,True
fancy bus [W],sl5,012acdf138ea86da12cb86f95d8735f5,85e704931965be0fc09ec3e17307f283e46a177bdaeb68e4cfa75e1394938045,0.218,0.407,11.896,True
MEJIRUSHI,sl0,01451e0bc356463f3fc0e9369961c562,51b6d6277ed8e4170ff1b891617137374c0011ed57260af207beca7012519774,-0.787,-0.082,4.732,True
愛と煩悩と輪廻と常識の極彩世界 [SP ANOTHER],sl4,0169686bd3883f1196f4dd7a4af48f36,c5eaf83ca6a91442f3e3ed9074f825dc524c79a3a5a3c1dec0e3932f3cf6a0cc,0.211,0.423,8.344,True
Celestial Axes  -Genocide-,st5,01873b044711a754ec884afe5469d3cf,a786b81343789bc2241d0957b1b4e8a86e7e47fa59aeebf143d91eb820c679c1,1.006,1.510,6.626,True
Unit:Squash! [Any%],sl7,018cc2ac1e18812c9e637162d29552ce,bd58d085764704ca5e902a3050314969999cedba1f7ff48199e97bd34e3e46cd,0.229,0.526,7.770,True
Whispers from a Mirror,sl0,01af4c0984ed654897885308bc10083d,89b0fbacdf914bde7455e826e2f4be17a3b6a913dfb7015cc4bb0db62ec2bbfa,-0.547,-0.087,5.902,True
新 漢江水打令 [SP LEGGENDARIA],sl4,01b980cdbf815a53eec50a3995b870e2,2277ad88f6f66ad3ea12766d7006c0773480fd69da6418e18e2a1cf5ac4ce971,0.024,0.313,8.015,True
Kafig [Trennung_fixed],st2,01d6ea667d9d87c4d5a7e939adb80647,5cc0bd8dfbf2657fd2ad2f7a9eb8a8945424192064af2a9fc21bb3bb0a816029,0.846,1.065,11.372,True
HOOKER [Gratte Ciel],st1,01e0d67a5ba44cd57168ede127bfba3c,3c7643fd163be823fda722c89e0b3ed9db33497468293dbeb586f3b49952cb24,0.644,0.897,11.266,True
Ripples Aqua [another],sl3,021ef33f351f758e3f7a0325a03db35f,8b4dc1aaf3ea3a53d7dd0659a832b45e3b79916cb9430b3acf72654651c54742,-0.576,0.076,3.841,True
Emptiness 【Klarheit】,sl10,02219fc200b7bbf9d068ac978f85188b,38c5c5054dab31d9a2d3f893dae88e532e7fed38a2a5d7a68b0455c350c55973,0.514,0.731,11.702,True
Suffering of screw [BlackAnother],sl1,022ed61d7efcf1f0fcd2931b81703b4a,f5aab3ce442a9ba54eb2ae5cb6f9d267686afac813b799a3b606265e71ffadba,-0.371,0.132,7.142,True
Flavor [Hexagon],st4,02a2aee824b3d0bb1c1d55022f8e8d5c,2e432127da80bbcae1fbc63d61ad106134ed3e347a5dbfddedbbbb0c0011a7d9,1.071,1.460,6.775,True
